Symbol_HGNC	GenePanel
ADAM22	MR (AR);OMIM (AR);PCS (AR)
ADAM9	BLIND (AR);OMIM (AR);PCS (AR)
ADAMTS10	DERM (AR);LENGTE (AR);OMIM (AR);OXPHOS (AR);PCS (AR)
ADAMTS13	HEMOS (AR);NIER (AR);OMIM (AR);PCS (AR)
ADAMTS17	DERM (AR);LENGTE (AR);OMIM (AR);PCS (AR)
ADAMTS18	BLIND (AR);OMIM (AR);PCS (AR)
ADAMTS19	HART (AR)
ADAMTS2	DERM (AR);OMIM (AR);PCS (AR)
ADAMTS3	DERM (AR);OMIM (AR)
ADAMTS9	CILIO (AR);NIER (AR)
ADAMTSL2	DERM (AR);LENGTE (AR);OMIM (AR);PCS (AR)
ADAMTSL4	ANEURYSM (AR);BLIND (AR);CFA (AR);OMIM (AR);PCS (AR)
ADAR	BEWEGING (AR);DERM (AD/AR);IMMUUN (AR);MR (AR);OMIM (AD,AR);PCS (AR)
ADAT3	MR (AR);OMIM (AR);PCS (AR)
ADCK2	OXPHOS (AR)
ADCK5	METAB (AR)
ADCY1	DOOF (AR);OMIM (AR);PCS (AR)
ADCY10	NIER (AD)
ADCY3	HH (AR)
ADCY5	BEWEGING (AD);HART (AD);METAB (AR);OMIM (AD)
ADCY6	AKI (AR);OMIM (AR);PCS (AR)
ADD3	OMIM (AR);PCS (AR)
ADGRE2	OMIM (AD)
ADGRG1	BEWEGING (AR);MR (AR);OMIM (AR);PCS (AR)
ADGRG2	OMIM (XL)
ADGRG6	AKI (AR);OMIM (AR);PCS (AR)
ADGRV1	BLIND (AR);DOOF (AR);OMIM (AD,AR);PCS (AR)
ADIPOQ	ANEURYSM (AR);OMIM (UK,AD,AR,XL,YL)
ADIPOR1	BLIND (AD)
ADK	LEVER (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)
ADNP	MR (AD);OMIM (AD)
ADPRS	BEWEGING (AR);MR (AR);OMIM (AR);OXPHOS (AR)
ADRB2	OMIM (UK,AD,AR,XL,YL)
ADSL	EPI (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)
ADSS1	OMIM (AR);PCS (AR)
AEBP1	OMIM (AR);PCS (AR)
AFF2	MR (XL);OMIM (XLR)
AFF4	MR (AD);OMIM (AD)
AFG3L2	BEWEGING (AD);MR (AR);OMIM (AD,AR);OXPHOS (AR);PCS (AR)
AFP	OMIM (AR)
AGA	DERM (AR);IMMUUN (AR);LENGTE (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)
AGBL1	BLIND (AD);OMIM (AD)
AGBL5	BLIND (AR);OMIM (AR);PCS (AR)
AGK	BLIND (AR);HART (AR);METAB (AR);OMIM (AR);OXPHOS (AR);PCS (AR)
AGL	HART (AR);METAB (AR);OMIM (AR);PCS (AR);SPIER (AR)
AGO2	MR (AD)
AGPAT2	DERM (AR);HART (AR);METAB (AR);OMIM (AR);PCS (AR)
AGPS	LENGTE (AR);METAB (AR);OMIM (AR);PCS (AR)
AGRN	OMIM (AR);PCS (AR);SPIER (AR)
AGT	NIER (AR);OMIM (AR);PCS (AR)
AGTPBP1	BEWEGING (AR);OMIM (AR)
AGTR1	ANEURYSM (AD);NIER (AR);OMIM (AR);PCS (AR)
AGXT	METAB (AR);NIER (AR);OMIM (AR);PCS (AR)
AHCY	LEVER (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)
AHDC1	MR (AD);OMIM (AD)
AHI1	BLIND (AR);CILIO (AR);MR (AR);NIER (AR);OMIM (AR);PCS (AR)
AHR	BLIND (AR);OMIM (AR)
AHSG	MR (AR);OMIM (AR);PCS (AR)
AICDA	IMMUUN (AR);OMIM (AR);PCS (AR)
AIFM1	DOOF (XL);HMSN (XL);LENGTE (XL);MR (XLR);OMIM (XLR);OXPHOS (XL)
AIMP1	BEWEGING (AR);MR (AR);OMIM (AR);PCS (AR)
AIMP2	MR (AR);OMIM (AR);PCS (AR)
AIP	OMIM (UK,AD,AR,XL,YL);TUMOR (AD)
AIPL1	BLIND (AR);OMIM (AR);PCS (AR)
AIRE	DERM (AD/AR);IMMUUN (AR);OMIM (AD,AR);PCS (AR)
AK1	METAB (AR);OMIM (AR);PCS (AR)
AK2	IMMUUN (AR);METAB (AR);OMIM (AR);PCS (AR);SCID (AR)
AK7	OMIM (AR)
AKAP9	HART (AD);OMIM (AD)
AKR1C2	DSD (AR);OMIM (AR);PCS (AR)
AKR1D1	LEVER (AR);METAB (AR);OMIM (AR);PCS (AR)
AKT1	DERM (AD);OMIM (UK,AD,AR,XL,YL);TUMOR (AD)
AKT2	OMIM (AD)
AKT3	DERM (AD);MR (AD);OMIM (AD)
ALAD	DERM (AR);METAB (AR);OMIM (AR);PCS (AR)
ALAS2	DERM (XL);IJZER (XL);METAB (XL);OMIM (XL)
ALB	OMIM (UK,AD,AR,XL,YL);PCS (AR)
ALDH18A1	BEWEGING (AD,AR);DERM (AR);METAB (AR);MR (AR);OMIM (AD,AR);PCS (AR)
ALDH1A2	CHD (AD);HART (AD)
ALDH1A3	BLIND (AR);METAB (AR);OMIM (AR);PCS (AR)
ALDH1B1	OXPHOS (AR)
ALDH2	METAB (AR);OMIM (AD)
ALDH3A2	BEWEGING (AR);DERM (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)
ALDH4A1	METAB (AR);MR (AR);OMIM (AR);PCS (AR)
ALDH5A1	METAB (AR);MR (AR);OMIM (AR);PCS (AR)
ALDH6A1	METAB (AR);OMIM (AR);PCS (AR)
ALDH7A1	EPI (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)
ALDOA	METAB (AR);OMIM (AR);PCS (AR)
ALDOB	DERM (AR);LEVER (AR);METAB (AR);NIER (AR);OMIM (AR);PCS (AR)
ALG1	EPI (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)
ALG10	METAB (AR)
ALG11	EPI (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)
ALG12	LENGTE (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)
ALG13	EPI (XL);IMMUUN (XL);METAB (XL);MR (XL);OMIM (XLD)
ALG14	METAB (AR);OMIM (AR);PCS (AR)
ALG2	METAB (AR);MR (AR);OMIM (AR);PCS (AR)
ALG3	AKI (AR);EPI (AR);LENGTE (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)
ALG6	EPI (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)
ALG8	LEVER (AD/AR);METAB (AR);MR (AR);NIER (AR);OMIM (AD,AR);PCS (AR)
ALG9	LENGTE (AR);METAB (AR);MR (AR);NIER (AD);OMIM (AR);PCS (AR)
ALK	TUMOR (AD)
ALKBH1	OXPHOS (AR)
ALKBH8	OMIM (AR);PCS (AR)
ALMS1	BLIND (AR);CILIO (AR);HART (AR);LENGTE (AR);MR (AR);NIER (AR);OMIM (AR);PCS (AR)
ALOX12B	DERM (AR);METAB (AR);OMIM (AR);PCS (AR)
ALOXE3	DERM (AR);OMIM (AR);PCS (AR)
ALPK3	HART (AD/AR);OMIM (AR);PCS (AR)
ALPL	DERM (AD/AR);LENGTE (AD,AR);METAB (AR);OMIM (AD,AR);PCS (AR)
ALS2	ALS (AR);BEWEGING (AR);OMIM (AR);PCS (AR)
ALX1	CFA (AR);LENGTE (AR);OMIM (UK,AD,AR,XL,YL);PCS (AR)
ALX3	CFA (AD);LENGTE (AR);MR (AR);OMIM (AR);PCS (AR)
ALX4	CFA (AD);DERM (AD/AR);LENGTE (AR,AD);MR (AR);OMIM (AD,AR);PCS (AR)
AMACR	EPI (AR);HMSN (AR);LEVER (AR);METAB (AR);OMIM (AR);PCS (AR)
AMBN	CFA (AR);OMIM (AR);PCS (AR)
AMELX	CFA (XL);DERM (XL);OMIM (XLD)
AMER1	CFA (XL,XLD);LENGTE (XLD);MR (XL);OMIM (XLD)
AMH	DSD (AR);OMIM (AR);TUMOR (AR)
AMHR2	DSD (AR);OMIM (AR);TUMOR (AR)
AMMECR1	LENGTE (XL);MR (XL);OMIM (XLR)
AMN	BMF (AR);METAB (AR);NIER (AR);OMIM (AR);PCS (AR)
AMPD1	METAB (AR);OMIM (AR);PCS (AR)
AMPD2	BEWEGING (AR);EPI (AR);MR (AR);OMIM (AR);PCS (AR)
AMPD3	METAB (AR)
AMT	EPI (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)
AMTN	CFA (AD);OMIM (AD)
ANAPC1	OMIM (AR);PCS (AR)
ANG	ALS (AD);OMIM (UK,AD,AR,XL,YL)
ANGPTL3	OMIM (AR);PCS (AR)
ANGPTL4	OMIM (AD)
ANK1	OMIM (AD,AR)
ANK2	HART (AD);OMIM (AD)
ANK3	MR (AR);OMIM (AR);PCS (AR)
ANKH	LENGTE (AD);MR (AR);OMIM (AD);PCS (AR)
ANKLE2	MR (AR);OMIM (AR);PCS (AR)
ANKRD1	CHD (AD);HART (AD)
ANKRD11	CFA (AD);DERM (AD);EPI (AD);LENGTE (AD);MR (AD);OMIM (AD)
ANKRD26	BMF (AD);HEMOS (AD);OMIM (AD);TUMOR (AD)
ANKS1B	MR (AD)
ANKS6	CILIO (AR);LEVER (AR);NIER (AR);OMIM (AR);PCS (AR)
ANLN	NIER (AD);OMIM (AD)
ANO10	BEWEGING (AR);MR (AR);OMIM (AR);OXPHOS (AR);PCS (AR)
ANO3	BEWEGING (AD);OMIM (AD)
ANO5	LENGTE (AD);OMIM (AD,AR);PCS (AR);SPIER (AR)
ANO6	HEMOS (AR);OMIM (AR);PCS (AR)
ANOS1	DERM (XL);HH (XL);NIER (XLR);OMIM (XLR)
ANTXR1	DERM (AD/AR);MR (AR);OMIM (AR);PCS (AR)
ANTXR2	DERM (AR);LENGTE (AR);OMIM (AR);PCS (AR)
ANXA11	ALS (AD);OMIM (AD)
AP1S1	LEVER (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)
AP1S2	MR (XL);OMIM (XLR)
AP1S3	DERM (AD);IMMUUN (AD)
AP2M1	MR (AD);OMIM (AD)
AP2S1	NIER (AD);OMIM (AD)
AP3B1	BLIND (AR);DERM (AR);HEMOS (AR);IMMUUN (AR);MR (AR);OMIM (AR);PCS (AR)
AP3B2	EPI (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)
AP3D1	BLIND (AR);HEMOS (AR);IMMUUN (AR);MR (AR);OMIM (AR);PCS (AR)
AP4B1	BEWEGING (AR);MR (AR);OMIM (AR);PCS (AR)
AP4E1	BEWEGING (AR);MR (AR);OMIM (AD,AR);PCS (AR)
AP4M1	BEWEGING (AR);MR (AR);OMIM (AR);PCS (AR)
AP4S1	BEWEGING (AR);MR (AR);OMIM (AR);PCS (AR)
AP5Z1	OMIM (AR);PCS (AR)
APC	DERM (AD);OMIM (AD);TUMOR (AD)
APC2	LENGTE (AR);MR (AR);OMIM (AR);PCS (AR)
APCDD1	DERM (AD);OMIM (AD)
APOA1	ANEURYSM (AD);OMIM (AD)
APOA2	OMIM (UK,AD,AR,XL,YL)
APOA5	OMIM (AD)
APOB	ANEURYSM (AD);OMIM (AD,AR);PCS (AR)
APOC2	METAB (AR);OMIM (AR);PCS (AR)
APOC3	OMIM (UK,AD,AR,XL,YL)
APOE	OMIM (AD,AR);PCS (AR)
APOL1	IMMUUN (AD);NIER (AD,AR)
APP	OMIM (AD)
APRT	METAB (AR);NIER (AR);OMIM (AR);PCS (AR)
APTX	BEWEGING (AR);HMSN (AR);MR (AR);OMIM (AR);OXPHOS (AR);PCS (AR)
AQP2	NIER (AD,AR);OMIM (AD,AR);PCS (AR)
AQP5	DERM (AD);OMIM (AD)
AR	DSD (XL);OMIM (XLR)
ARCN1	MR (AD);OMIM (AD)
ARF1	OMIM (AD)
ARFGEF2	MR (AR);OMIM (AR);PCS (AR)
ARG1	BEWEGING (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)
ARHGAP26	OMIM (UK,AD,AR,XL,YL)
ARHGAP29	CFA (AD)
ARHGAP31	DERM (AD);LENGTE (AD);MR (AD);OMIM (AD)
ARHGDIA	NIER (AR);OMIM (AR);PCS (AR)
ARHGEF1	IMMUUN (AR);OMIM (AR)
ARHGEF10	HMSN (AD);OMIM (AD)
ARHGEF18	BLIND (AR);OMIM (AR);PCS (AR)
ARHGEF2	OMIM (AR);PCS (AR)
ARHGEF6	MR (XL)
ARHGEF9	EPI (XL);MR (XL);OMIM (XLR)
ARID1A	DERM (AD);MR (AD);OMIM (AD)
ARID1B	DERM (AD);EPI (AD);LENGTE (AD);MR (AD);OMIM (AD)
ARID2	MR (AD);OMIM (AD)
ARIH1	ANEURYSM (AD);HART (AD)
ARL13B	BLIND (AR);CILIO (AR);MR (AR);NIER (AR);OMIM (AR);PCS (AR)
ARL2	OXPHOS (AD)
ARL2BP	BLIND (AR);OMIM (AR);PCS (AR)
ARL3	BLIND (AD);OMIM (AD,AR)
ARL6	BLIND (AR);CILIO (AR);MR (AR);NIER (AR);OMIM (AR);PCS (AR)
ARL6IP1	OMIM (AR);PCS (AR)
ARMC2	OMIM (AR)
ARMC4	CILIO (AR);OMIM (AR);PCS (AR)
ARMC5	OMIM (UK,AD,AR,XL,YL);TUMOR (AD)
ARMC9	CILIO (AR);MR (AR);OMIM (AR);PCS (AR)
ARNT2	OMIM (AR);OXPHOS (AR);PCS (AR)
ARPC1B	HEMOS (AR);IMMUUN (AR);OMIM (AR)
ARR3	BLIND (XL);OMIM (XL)
ARSA	BEWEGING (AD,AR);HMSN (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)
ARSB	LENGTE (AR);METAB (AR);OMIM (AR);PCS (AR)
ARSG	BLIND (AR);OMIM (AR)
ARSL	LENGTE (XLR);MR (XL);OMIM (XLR)
ARV1	MR (AR);OMIM (AR);PCS (AR)
ARX	BEWEGING (XL);DSD (XL);EPI (XL);MR (XL);OMIM (XL)
ASAH1	EPI (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)
ASB10	OMIM (UK,AD,AR,XL,YL)
ASCC1	AKI (AR);OMIM (AR);PCS (AR)
ASCL1	OMIM (AD)
ASH1L	MR (AD);OMIM (AD)
ASIP	DERM (AD)
ASL	DERM (AR);EPI (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)
ASNS	EPI (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)
ASPA	BEWEGING (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)
ASPH	BLIND (AR);OMIM (AR);PCS (AR)
ASPM	MR (AR);OMIM (AR);PCS (AR)
ASPSCR1	OMIM (UK,AD,AR,XL,YL)
ASRGL1	BLIND (AR)
ASS1	METAB (AR);MR (AR);OMIM (AR);PCS (AR)
ASXL1	DERM (AD);MR (AD);OMIM (AD);TUMOR (AD)
ASXL2	MR (AD);OMIM (AD)
ASXL3	DERM (AD);EPI (AD);MR (AD);OMIM (AD)
ATAD1	MR (AR);OMIM (AR);OXPHOS (AR);PCS (AR)
ATAD3A	HMSN (AD/AR);MR (AD,AR);OMIM (AD,AR);OXPHOS (AR)
ATAD3B	OXPHOS (AR)
ATCAY	BEWEGING (AR);OMIM (AR);PCS (AR)
ATF3	DSD (AD)
ATF6	BLIND (AR);OMIM (AR);PCS (AR)
ATG4B	ANEURYSM (AD)
ATG5	OMIM (AR);PCS (AR)
ATIC	DERM (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)
ATL1	BEWEGING (AD);HMSN (AD);MR (AD);OMIM (AD)
ATL3	HMSN (AD);OMIM (AD)
ATM	BEWEGING (AR);BRSTKNK (AD);IMMUUN (AR);OMIM (AR);PCS (AR);TUMOR (AD,AR)
ATN1	MR (AD);OMIM (AD)
ATOH7	BLIND (AR);OMIM (AR);PCS (AR)
ATP11C	OMIM (XLR)
ATP13A2	BEWEGING (AR);OMIM (AR);OXPHOS (AR);PARK (AR);PCS (AR)
ATP1A1	HMSN (AD);METAB (AD);MR (AD);NIER (AD);OMIM (AD)
ATP1A2	BEWEGING (AD);EPI (AD);MR (AD);OMIM (AD)
ATP1A3	BEWEGING (AD);DOOF (AR);EPI (AD);MR (AD);OMIM (AD);PARK (AD)
ATP2A1	OMIM (AR);PCS (AR);SPIER (AD,AR)
ATP2A2	DERM (AD);MR (AD);OMIM (AD)
ATP2B2	DOOF (AD)
ATP2B3	BEWEGING (XL);OMIM (XLR)
ATP2C1	DERM (AD);OMIM (AD)
ATP4A	IJZER (AR,AD)
ATP5F1A	OMIM (AR);OXPHOS (AR);PCS (AR)
ATP5F1B	OXPHOS (AR)
ATP5F1C	OXPHOS (AR)
ATP5F1D	OMIM (AR);OXPHOS (AR);PCS (AR)
ATP5F1E	OMIM (UK,AD,AR,XL,YL);OXPHOS (AR);PCS (AR)
ATP5IF1	OXPHOS (AR)
ATP5MC1	OXPHOS (AR)
ATP5MC2	OXPHOS (AR)
ATP5MC3	OXPHOS (AR)
ATP5MD	OXPHOS (AR)
ATP5ME	OXPHOS (AR)
ATP5MF	OXPHOS (AR)
ATP5MG	OXPHOS (AR)
ATP5MGL	OXPHOS (AR)
ATP5PB	OXPHOS (AR)
ATP5PD	OXPHOS (AR)
ATP5PF	OXPHOS (AR)
ATP5PO	OXPHOS (AR)
ATP6AP1	IMMUUN (XLR);METAB (XL);OMIM (XLR)
ATP6AP2	EPI (XL);MR (XL);OMIM (XLR)
ATP6V0A2	DERM (AR);LENGTE (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)
ATP6V0A4	NIER (AR);OMIM (UK,AD,AR,XL,YL);PCS (AR)
ATP6V1A	METAB (AR);MR (AD);OMIM (AD,AR);PCS (AR)
ATP6V1B1	DOOF (AR);NIER (AR);OMIM (AR);PCS (AR)
ATP6V1B2	MR (AD);OMIM (AD)
ATP6V1E1	METAB (AR);OMIM (AR);PCS (AR)
ATP7A	ANEURYSM (AD);DERM (XL);EPI (XL);HMSN (XL);METAB (XL);MR (XL);OMIM (XLR);SPIER (XL)
ATP7B	BEWEGING (AR);LEVER (AR);METAB (AR);NIER (AR);OMIM (AR);PCS (AR)
ATP8A2	MR (AR);OMIM (AR);PCS (AR)
ATP8B1	LEVER (AR);METAB (AR);OMIM (AD,AR);PCS (AR)
ATPAF1	OXPHOS (AR)
ATPAF2	HART (AR);OMIM (AR);OXPHOS (AR);PCS (AR)
ATR	BMF (AR);DERM (AD/AR);LENGTE (AR);MR (AR);OMIM (AD,AR);PCS (AR);TUMOR (AD,AR)
ATRX	DSD (XL);EPI (XL);MR (XL);OMIM (XL)
ATXN1	OMIM (AD)
ATXN10	OMIM (AD)
ATXN2	OMIM (AD)
ATXN3	OMIM (AD)
ATXN7	OMIM (AD)
ATXN8OS	OMIM (AD)
AUH	METAB (AR);MR (AR);OMIM (AR);PCS (AR)
AURKC	OMIM (AR);PCS (AR)
AUTS2	EPI (AD);MR (AD);OMIM (AD)
AVIL	OMIM (AR)
AVP	NIER (AD);OMIM (AD)
AVPR2	MR (XL);NIER (XLR);OMIM (XLR)
AXIN1	OMIM (UK,AD,AR,XL,YL)
AXIN2	CFA (AD);DERM (AD);OMIM (AD);TUMOR (AD)
B2M	IMMUUN (AR);OMIM (AD,AR);PCS (AR);SCID (AR,AD)
B3GALNT1	METAB (AR)
B3GALNT2	METAB (AR);MR (AR);OMIM (AR);PCS (AR);SPIER (AR)
B3GALT6	DERM (AR);LENGTE (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)
B3GAT3	LENGTE (AR);METAB (AR);OMIM (AR);PCS (AR)
B3GLCT	BLIND (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)
B4GALNT1	BEWEGING (AR);MR (AR);OMIM (AR);PCS (AR)
B4GALT1	METAB (AR);OMIM (AR);PCS (AR)
B4GALT7	DERM (AR);LENGTE (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)
B4GAT1	METAB (AR);MR (AR);OMIM (AR);PCS (AR);SPIER (AR)
B9D1	CILIO (AR);DSD (AR);NIER (AR);OMIM (AR);PCS (AR)
B9D2	CILIO (AR);NIER (AR);OMIM (AR);PCS (AR)
BAAT	LEVER (AR);METAB (AR);OMIM (AR);PCS (AR)
BACH2	IMMUUN (AD);OMIM (AD)
BAG3	HART (AD);HMSN (AD);OMIM (AD);SPIER (AD)
BANF1	DERM (AR);HART (AR);OMIM (AR);PCS (AR)
BAP1	BRSTKNK (AD);DERM (AD);OMIM (AD);TUMOR (AD)
BARD1	BRSTKNK (AD);TUMOR (AD)
BAX	OMIM (UK,AD,AR,XL,YL)
BAZ2B	MR (AD)
BBIP1	BLIND (AR);CILIO (AR);NIER (AR);OMIM (AR);PCS (AR)
BBS1	BLIND (AR);CILIO (AR);MR (AR);NIER (AR);OMIM (UK,AD,AR,XL,YL);PCS (AR)
BBS10	BLIND (AR);CILIO (AR);MR (AR);NIER (AR);OMIM (AR);PCS (AR)
BBS12	BLIND (AR);CILIO (AR);MR (AR);NIER (AR);OMIM (AR);PCS (AR)
BBS2	BLIND (AR);CILIO (AR);MR (AR);NIER (AR);OMIM (AR);PCS (AR)
BBS4	BLIND (AR);CILIO (AR);MR (AR);NIER (AR);OMIM (AR);PCS (AR)
BBS5	BLIND (AR);CILIO (AR);MR (AR);NIER (AR);OMIM (AR);PCS (AR)
BBS7	BLIND (AR);CILIO (AR);MR (AR);NIER (AR);OMIM (AR);PCS (AR)
BBS9	BLIND (AR);CILIO (AR);MR (AR);NIER (AR);OMIM (AR);PCS (AR)
BCAP31	BEWEGING (XL);MR (XL);OMIM (XLR)
BCAT1	METAB (AR)
BCAT2	METAB (AR)
BCHE	OMIM (UK,AD,AR,XL,YL)
BCKDHA	BEWEGING (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)
BCKDHB	BEWEGING (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)
BCKDK	METAB (AR);MR (AR);OMIM (UK,AD,AR,XL,YL);PCS (AR)
BCL10	IMMUUN (AR);OMIM (AR);PCS (AR)
BCL11A	MR (AD);OMIM (AD)
BCL11B	BEWEGING (AD);IMMUUN (AD);MR (AD);OMIM (AD)
BCL2	OMIM (UK,AD,AR,XL,YL)
BCL7A	OMIM (UK,AD,AR,XL,YL)
BCO1	METAB (AD);OMIM (AD)
BCOR	BLIND (XL);CFA (XL);DERM (XL);MR (XL);OMIM (XLD)
BCORL1	MR (XLR);OMIM (XLR)
BCS1L	DERM (AR);DOOF (AR);LEVER (AR);MR (AR);NIER (AR);OMIM (UK,AD,AR,XL,YL);OXPHOS (AR);PCS (AR)
BDP1	DOOF (AR);OMIM (AR)
